Saat,Gerilim
0.5000,0.0000
1.5000,0.0000
2.5000,0.0000
3.5000,0.0000
4.5000,0.0000
5.5000,0.0000
6.5000,0.0000
7.5000,0.0000
8.5000,0.0000
9.5000,42.1600
10.5000,40.0197
11.5000,40.0303
12.5000,39.9000
13.5000,39.7498
14.5000,39.4699
15.5000,39.0597
16.5000,38.0303
17.5000,0.0000
18.5000,0.0000
19.5000,0.0000
20.5000,0.0000
21.5000,0.0000
22.5000,0.0000
23.5000,0.0000
